,day_name,day,month,year,first_price,last_second_price,last_third_price
0,Sunday,1,ตุลาคม,2560,880714,52,"[[462, 611, 726, 952]]"
1,Sunday,16,กรกฎาคม,2560,820327,87,"[[390, 584, 823, 835]]"
2,Sunday,16,เมษายน,2560,816729,40,"[[241, 766, 807, 973]]"
3,Sunday,16,ตุลาคม,2559,571947,98,"[[032, 587, 692, 885]]"
4,Sunday,17,มกราคม,2559,304371,50,"[[031, 532, 743, 786]]"
5,Sunday,1,พฤศจิกายน,2558,361211,45,"[[106, 166, 473, 757]]"
6,Sunday,16,สิงหาคม,2558,033363,40,"[[227, 624, 648, 781]]"
7,Sunday,1,มีนาคม,2558,240237,34,"[[008, 031, 498, 857]]"
8,Sunday,1,unknown,2558,155537,79,"[[008, 083, 286, 813]]"
9,Sunday,16,พฤศจิกายน,2557,479804,25,"[[179, 422, 480, 709]]"
10,Sunday,1,มิถุนายน,2557,781198,18,"[[160, 324, 409, 636]]"
11,Sunday,16,มีนาคม,2557,531404,79,"[[250, 305, 400, 904]]"
12,Sunday,16,unknown,2557,384245,01,"[[074, 397, 521, 530]]"
13,Sunday,1,ธันวาคม,2556,168795,27,"[[074, 734, 766, 980]]"
14,Sunday,1,กันยายน,2556,548123,05,"[[045, 281, 570, 800]]"
15,Sunday,16,มิถุนายน,2556,289673,69,"[[098, 114, 390, 502]]"
16,Sunday,30,ธันวาคม,2555,302358,00,"[[126, 589, 832, 864]]"
17,Sunday,16,ธันวาคม,2555,529524,72,"[[008, 734, 745, 778]]"
18,Sunday,16,กันยายน,2555,540143,79,"[[123, 242, 752, 770]]"
19,Sunday,1,กรกฎาคม,2555,915900,60,"[[530, 611, 656, 715]]"
20,Sunday,1,เมษายน,2555,257562,69,"[[074, 332, 581, 616]]"
21,Sunday,16,ตุลาคม,2554,955756,83,"[[057, 329, 507, 991]]"
22,Sunday,16,มกราคม,2554,281062,23,"[[185, 227, 546, 758]]"
23,Sunday,1,สิงหาคม,2553,210008,10,"[[182, 191, 727, 769]]"
24,Sunday,16,unknown,2553,480012,12,"[[008, 151, 293, 770]]"
25,Sunday,2,unknown,2553,360371,06,"[[040, 382, 517, 618]]"
26,Sunday,1,พฤศจิกายน,2552,689140,85,"[[366, 465, 642, 923]]"
27,Sunday,16,สิงหาคม,2552,462933,96,"[[292, 577, 658, 843]]"
28,Sunday,1,มีนาคม,2552,553091,67,"[[224, 238, 295, 665]]"
29,Sunday,1,unknown,2552,534533,69,"[[015, 427, 660, 777]]"
30,Sunday,16,พฤศจิกายน,2551,002612,20,"[[068, 589, 824, 877]]"
31,Sunday,1,มิถุนายน,2551,414875,35,"[[370, 666, 747, 916]]"
32,Sunday,16,มีนาคม,2551,074946,33,"[[077, 085, 158, 974]]"
33,Sunday,30,ธันวาคม,2550,595411,81,"[[267, 490, 741, 787]]"
34,Sunday,16,ธันวาคม,2550,513501,96,"[[425, 432, 460, 702]]"
35,Sunday,16,กันยายน,2550,499336,45,"[[247, 273, 604, 608]]"
36,Sunday,1,กรกฎาคม,2550,565151,76,"[[146, 287, 638, 949]]"
37,Sunday,1,เมษายน,2550,622780,93,"[[022, 677, 794, 814]]"
38,Sunday,1,ตุลาคม,2549,952335,92,"[[007, 804, 879, 951]]"
39,Sunday,16,กรกฎาคม,2549,512434,48,"[[098, 432, 518, 989]]"
40,Sunday,16,เมษายน,2549,038564,49,"[[210, 442, 769, 877]]"
41,Sunday,16,ตุลาคม,2548,041072,71,"[[269, 346, 410, 913]]"
42,Sunday,16,มกราคม,2548,335022,08,"[[039, 291, 479, 689]]"
43,Sunday,16,unknown,2547,589207,13,"[[253, 492, 526, 992]]"
44,Sunday,2,unknown,2547,653403,91,"[[101, 385, 550, 822]]"
45,Sunday,1,unknown,2547,216822,77,"[[242, 361, 469, 765]]"
46,Sunday,16,พฤศจิกายน,2546,238511,68,"[[155, 474, 594, 767]]"
47,Sunday,1,มิถุนายน,2546,766066,36,"[[083, 354, 523, 686]]"
48,Sunday,16,มีนาคม,2546,653062,64,"[[038, 208, 702, 820]]"
49,Sunday,16,unknown,2546,455578,61,"[[496, 805, 857, 980]]"
50,Sunday,1,ธันวาคม,2545,968422,37,"[[088, 298, 337, 809]]"
51,Sunday,1,กันยายน,2545,994200,51,"[[064, 126, 395, 799]]"
52,Sunday,16,มิถุนายน,2545,073261,07,"[[156, 472, 662, 845]]"
53,Sunday,30,ธันวาคม,2544,729367,64,"[[107, 611, 873, 974]]"
54,Sunday,16,ธันวาคม,2544,224675,19,"[[363, 538, 887, 902]]"
55,Sunday,16,กันยายน,2544,616426,82,"[[089, 291, 806, 995]]"
56,Sunday,1,กรกฎาคม,2544,107987,34,"[[296, 364, 546, 985]]"
57,Sunday,1,เมษายน,2544,640998,49,"[[061, 407, 600, 877]]"
58,Sunday,1,ตุลาคม,2543,290582,26,"[[070, 436, 618, 690]]"
59,Sunday,16,กรกฎาคม,2543,931342,43,"[[237, 397, 656, 739]]"
60,Sunday,16,เมษายน,2543,836777,63,"[[131, 273, 362, 950]]"
61,Sunday,16,มกราคม,2543,442183,82,"[[269, 640, 847, 950]]"
62,Sunday,1,สิงหาคม,2542,056860,98,"[[064, 303, 688, 994]]"
63,Sunday,16,unknown,2542,618818,16,"[[074, 843, 870, 884]]"
64,Sunday,2,unknown,2542,000686,00,"[[003, 045, 134, 715]]"
65,Sunday,1,พฤศจิกายน,2541,920846,29,"[[044, 081, 239, 316]]"
66,Sunday,16,สิงหาคม,2541,081784,91,"[[464, 644, 677, 724]]"
67,Sunday,1,มีนาคม,2541,236364,74,"[[127, 285, 562, 867]]"
68,Sunday,1,unknown,2541,665959,48,"[[381, 685, 788, 941]]"
69,Sunday,16,พฤศจิกายน,2540,875462,99,"[[038, 539, 573, 730]]"
70,Sunday,1,มิถุนายน,2540,643997,24,"[[060, 507, 784, 918]]"
71,Sunday,16,มีนาคม,2540,100474,36,"[[214, 444, 705, 822]]"
72,Sunday,16,unknown,2540,499884,84,"[[247, 315, 533, 716]]"
73,Sunday,1,ธันวาคม,2539,179528,66,"[[365, 566, 822, 920]]"
74,Sunday,1,กันยายน,2539,470136,02,"[[392, 501, 666, 972]]"
75,Sunday,16,มิถุนายน,2539,312311,21,"[[113, 649, 735, 916]]"
76,Sunday,1,ตุลาคม,2538,317092,76,"[[088, 139, 296, 819]]"
77,Sunday,16,กรกฎาคม,2538,248122,96,"[[085, 303, 571, 758]]"
78,Sunday,16,เมษายน,2538,053581,99,"[[276, 560, 681, 968]]"
79,Monday,16,ตุลาคม,2560,413494,86,"[[128, 180, 287, 971]]"
80,Monday,1,สิงหาคม,2559,272932,57,"[[472, 538, 871, 983]]"
81,Monday,16,unknown,2559,141737,98,"[[087, 268, 382, 975]]"
82,Monday,2,unknown,2559,399459,02,"[[046, 238, 403, 671]]"
83,Monday,1,unknown,2559,927800,09,"[[054, 076, 625, 999]]"
84,Monday,16,พฤศจิกายน,2558,795283,03,"[[028, 241, 643, 802]]"
85,Monday,16,มีนาคม,2558,048151,92,"[[339, 622, 623, 757]]"
86,Monday,16,unknown,2558,001864,90,"[[103, 392, 825, 843]]"
87,Monday,1,ธันวาคม,2557,480449,11,"[[161, 380, 580, 820]]"
88,Monday,1,กันยายน,2557,856763,22,"[[308, 477, 490, 912]]"
89,Monday,16,มิถุนายน,2557,673920,95,"[[140, 158, 576, 639]]"
90,Monday,30,ธันวาคม,2556,561072,48,"[[275, 503, 513, 750]]"
91,Monday,16,ธันวาคม,2556,341767,79,"[[111, 228, 742, 826]]"
92,Monday,16,กันยายน,2556,562684,63,"[[056, 235, 574, 754]]"
93,Monday,1,กรกฎาคม,2556,646905,51,"[[075, 284, 903, 904]]"
94,Monday,1,เมษายน,2556,571688,53,"[[170, 430, 670, 725]]"
95,Monday,1,ตุลาคม,2555,124025,58,"[[291, 554, 873, 940]]"
96,Monday,16,กรกฎาคม,2555,904050,11,"[[042, 159, 224, 897]]"
97,Monday,16,เมษายน,2555,583470,62,"[[088, 216, 722, 754]]"
98,Monday,16,มกราคม,2555,451445,81,"[[150, 328, 639, 941]]"
99,Monday,1,สิงหาคม,2554,218756,12,"[[221, 583, 660, 703]]"
100,Monday,16,unknown,2554,406417,05,"[[044, 071, 700, 889]]"
101,Monday,2,unknown,2554,054136,85,"[[133, 421, 524, 945]]"
102,Monday,1,พฤศจิกายน,2553,191100,59,"[[653, 739, 801, 968]]"
103,Monday,16,สิงหาคม,2553,911097,64,"[[448, 578, 689, 986]]"
104,Monday,1,มีนาคม,2553,215227,97,"[[374, 457, 470, 627]]"
105,Monday,1,unknown,2553,186312,14,"[[403, 577, 694, 936]]"
106,Monday,16,พฤศจิกายน,2552,055986,58,"[[072, 299, 536, 952]]"
107,Monday,1,มิถุนายน,2552,777661,26,"[[097, 240, 242, 642]]"
108,Monday,16,มีนาคม,2552,268812,36,"[[063, 228, 424, 929]]"
109,Monday,16,unknown,2552,038730,93,"[[115, 434, 939, 961]]"
110,Monday,1,ธันวาคม,2551,205434,05,"[[013, 260, 617, 957]]"
111,Monday,1,กันยายน,2551,695993,09,"[[027, 206, 413, 904]]"
112,Monday,16,มิถุนายน,2551,729111,75,"[[339, 345, 639, 870]]"
113,Monday,1,ตุลาคม,2550,430667,76,"[[090, 104, 126, 667]]"
114,Monday,16,กรกฎาคม,2550,527384,77,"[[105, 183, 334, 947]]"
115,Monday,16,เมษายน,2550,405105,63,"[[013, 522, 866, 987]]"
116,Monday,16,ตุลาคม,2549,264825,58,"[[092, 358, 832, 903]]"
117,Monday,16,มกราคม,2549,432747,79,"[[200, 222, 789, 965]]"
118,Monday,1,สิงหาคม,2548,961633,26,"[[055, 152, 272, 386]]"
119,Monday,16,unknown,2548,867134,97,"[[376, 465, 648, 693]]"
120,Monday,2,unknown,2548,772467,43,"[[071, 073, 383, 815]]"
121,Monday,1,พฤศจิกายน,2547,185966,23,"[[137, 661, 745, 862]]"
122,Monday,16,สิงหาคม,2547,335921,59,"[[082, 114, 288, 559]]"
123,Monday,2,สิงหาคม,2547,868990,45,"[[377, 510, 811, 956]]"
124,Monday,1,มีนาคม,2547,697483,50,"[[206, 510, 610, 759]]"
125,Monday,16,unknown,2547,698002,00,"[[072, 309, 798, 877]]"
126,Monday,1,ธันวาคม,2546,991307,78,"[[217, 559, 719, 945]]"
127,Monday,1,กันยายน,2546,187813,92,"[[249, 661, 793, 918]]"
128,Monday,16,มิถุนายน,2546,389872,29,"[[006, 605, 922, 995]]"
129,Monday,30,ธันวาคม,2545,895196,95,"[[116, 191, 609, 689]]"
130,Monday,16,ธันวาคม,2545,019682,67,"[[075, 312, 616, 849]]"
131,Monday,16,กันยายน,2545,156050,85,"[[056, 169, 823, 889]]"
132,Monday,1,กรกฎาคม,2545,481447,24,"[[195, 517, 763, 802]]"
133,Monday,1,เมษายน,2545,990543,57,"[[225, 430, 456, 971]]"
134,Monday,1,ตุลาคม,2544,104145,15,"[[058, 287, 303, 827]]"
135,Monday,16,กรกฎาคม,2544,820715,50,"[[171, 250, 282, 767]]"
136,Monday,16,เมษายน,2544,140843,28,"[[031, 378, 800, 952]]"
137,Monday,16,ตุลาคม,2543,620662,39,"[[133, 276, 372, 607]]"
138,Monday,1,พฤศจิกายน,2542,561335,03,"[[140, 570, 855, 882]]"
139,Monday,16,สิงหาคม,2542,340998,65,"[[111, 371, 696, 933]]"
140,Monday,1,unknown,2542,342860,69,"[[048, 361, 735, 752]]"
